HotelName,City,District,Price,Type,Facilities
Macdonald-Mcconnell Hotel,Surkhet,Surkhet,5615,Homestay,"Security, Parking, Room ServiceFamily Rooms"
Hotel Gorkha,Mustang,Mustang,9204,Boutique Hotel,"Laundry Service, Garden, Television"
Duran-Davis Hotel,Chitwan,Chitwan,7172,Cabin,"Tea/Coffee Maker, Room ServiceFamily Rooms, Swimming Pool"
"Shaw, Bennett and Reed Hotel",Kailali,Kailali,9112,Cabin,"Laundry Service, Swimming Pool, Tea/Coffee Maker"
"Butler, Silva and Castro Hotel",Dang,Dang,5006,Eco-lodge,"Air Conditioning, Television, Conference Room"
Johnson LLC Hotel,Sunsari,Sunsari,6172,Mountain Lodge,"Resturant, Bar, Television"
Blankenship-Rodriguez Hotel,Darchula,Darchula,1174,Boutique Hotel,"Breakfast, Swimming Pool, WiFi"
The Yak Lodge,Dang,Dang,9087,Resort,"Room ServiceFamily Rooms, Air Conditioning, Laundry Service"
"Hensley, Flowers and Juarez Hotel",Rukum East,Rukum East,3190,Boutique Hotel,"Breakfast, Television, Resturant"
Hobbs-Alexander Hotel,Doti,Doti,9737,Hotel,"Resturant, Security, Laundry Service"
Himalayan Retreat,Rolpa,Rolpa,9742,Homestay,"Security, Air Conditioning, WiFi"
Eco Himalaya Lodge,Syangja,Syangja,3765,Homestay,"Swimming Pool, Breakfast, Parking"
"Hensley, Matthews and James Hotel",Kailali,Kailali,1096,Eco-lodge,"Resturant, Room ServiceFamily Rooms, Hot Water"
Hotel Buddha,Rupandehi,Rupandehi,8012,Hostel,"Laundry Service, Resturant, Tea/Coffee Maker"
Mountain Sunrise Resort,Mahottari,Mahottari,6416,Villa,"Garden, Air Conditioning, Tea/Coffee Maker"
Hotel Gorkha,Chitwan,Chitwan,6647,Motel,"Television, Hot Water, Garden"
Thomas-Brennan Hotel,Nawalpur,Nawalpur,8312,Guest House,"Air Conditioning, Garden, Television"
Kathmandu Garden Inn,Tanahun,Tanahun,4869,Lodge,"Hot Water, WiFi, Conference Room"
Gallegos-Nguyen Hotel,Nawalpur,Nawalpur,8772,Boutique Hotel,"Bar, Parking, Laundry Service"
Morrow-Underwood Hotel,Banke,Banke,5977,Villa,"Parking, Air Conditioning, Conference Room"
Annapurna Guest House,Lamjung,Lamjung,5357,Guest House,"WiFi, Garden, Breakfast"
Nepal Comfort Stay,Doti,Doti,6544,Boutique Hotel,"Resturant, Television, WiFi"
Estrada LLC Hotel,Dhading,Dhading,9034,Motel,"Conference Room, Laundry Service, Room ServiceFamily Rooms"
Hotel Everest View,Jumla,Jumla,4266,Serviced Apartment,"Garden, Security, Conference Room"
Allen PLC Hotel,Achham,Achham,4170,Serviced Apartment,"Television, Breakfast, Hot Water"
Pokhara Peace Lodge,Lamjung,Lamjung,2337,Cabin,"WiFi, Television, Conference Room"
Shepherd-Robinson Hotel,Morang,Morang,9845,Bed and Breakfast,"Tea/Coffee Maker, Conference Room, Laundry Service"
Graham Inc Hotel,Kavrepalanchok,Kavrepalanchok,7064,Villa,"Room ServiceFamily Rooms, Breakfast, Garden"
Everest Base Camp Lodge,Panchthar,Panchthar,4850,Resort,"Tea/Coffee Maker, Swimming Pool, Breakfast"
"Huerta, Le and Howard Hotel",Khotang,Khotang,5453,Cabin,"Garden, Swimming Pool, Bar"
Stupa View Inn,Gulmi,Gulmi,3505,Hostel,"Resturant, Television, Conference Room"
Eco Himalaya Lodge,Rukum West,Rukum West,5545,Guest House,"Bar, Security, WiFi"
Davis-Stevens Hotel,Terhathum,Terhathum,7103,Lodge,"WiFi, Security, Conference Room"
Nepal Comfort Stay,Wardha,Wardha,1291,Mountain Lodge,"Laundry Service, Garden, Swimming Pool"
Eco Himalaya Lodge,Humla,Humla,1113,Guest House,"Bar, Conference Room, Television"
Pokhara Peace Lodge,Darchula,Darchula,9444,Motel,"Swimming Pool, Bar, Resturant"
Mountain Sunrise Resort,Siraha,Siraha,9080,Motel,"Television, Room ServiceFamily Rooms, WiFi"
Hotel Everest View,Dailekh,Dailekh,7774,Serviced Apartment,"Air Conditioning, Conference Room, Tea/Coffee Maker"
Fischer Ltd Hotel,Dailekh,Dailekh,4837,Serviced Apartment,"Resturant, Swimming Pool, WiFi"
Kathmandu Garden Inn,Lamjung,Lamjung,1534,Homestay,"Swimming Pool, Conference Room, Air Conditioning"
Kaiser-Hall Hotel,Solukhumbu,Solukhumbu,7491,Mountain Lodge,"Air Conditioning, Television, Resturant"
Jones and Sons Hotel,Bara,Bara,7068,Villa,"WiFi, Bar, Security"
Woodard LLC Hotel,Khotang,Khotang,5750,Hostel,"Conference Room, Bar, Swimming Pool"
Faulkner Ltd Hotel,Arghakhanchi,Arghakhanchi,1074,Mountain Lodge,"Parking, Television, Hot Water"
"Collins, Gibson and Oliver Hotel",Kapilvastu,Kapilvastu,1673,Resort,"Room ServiceFamily Rooms, Conference Room, Security"
Kathmandu Garden Inn,Udayapur,Udayapur,8596,Eco-lodge,"Television, Security, Breakfast"
Peaceful Valley Resort,Kalikot,Kalikot,9581,Cabin,"Resturant, Bar, Parking"
Hotel Everest View,Kailali,Kailali,2203,Eco-lodge,"Tea/Coffee Maker, Television, Garden"
Mountain Sunrise Resort,Ilam,Ilam,4142,Bed and Breakfast,"Garden, Television, Conference Room"
"Lopez, Lewis and Rivera Hotel",Jajarkot,Jajarkot,2664,Homestay,"Laundry Service, Bar, Parking"
"Reyes, Macias and Hernandez Hotel",Kathmandu,Kathmandu,1437,Lodge,"Parking, Swimming Pool, Hot Water"
Bartlett and Sons Hotel,Dadeldhura,Dadeldhura,4573,Homestay,"Security, Breakfast, Laundry Service"
"Lopez, Coleman and Anderson Hotel",Okhaldhunga,Okhaldhunga,9828,Lodge,"Bar, Resturant, Laundry Service"
Namaste Homestay,Kathmandu,Kathmandu,4130,Boutique Hotel,"Resturant, Tea/Coffee Maker, Parking"
Himalayan Retreat,Siraha,Siraha,1528,Mountain Lodge,"Laundry Service, Security, Hot Water"
"Ray, Norman and Shields Hotel",Kavrepalanchok,Kavrepalanchok,9069,Hotel,"Breakfast, Laundry Service, Parking"
Harris Ltd Hotel,Chitwan,Chitwan,9371,Homestay,"Conference Room, Laundry Service, Tea/Coffee Maker"
The Yak Lodge,Bardiya,Bardiya,3172,Motel,"Parking, Bar, Swimming Pool"
Pokhara Peace Lodge,Rukum West,Rukum West,2621,Motel,"Room ServiceFamily Rooms, Air Conditioning, Bar"
"Allen, Lopez and Sanchez Hotel",Rautahat,Rautahat,6429,Motel,"Room ServiceFamily Rooms, Security, Resturant"
Annapurna Guest House,Palpa,Palpa,7022,Serviced Apartment,"Security, Room ServiceFamily Rooms, Laundry Service"
"Evans, Simpson and Jimenez Hotel",Lamjung,Lamjung,8750,Bed and Breakfast,"Hot Water, Parking, Tea/Coffee Maker"
Hotel Gorkha,Udayapur,Udayapur,9025,Lodge,"Parking, Resturant, Hot Water"
Hester-Aguilar Hotel,Sunsari,Sunsari,4481,Eco-lodge,"Room ServiceFamily Rooms, Air Conditioning, Resturant"
Ross Inc Hotel,Bhojpur,Bhojpur,3337,Resort,"Air Conditioning, Garden, Breakfast"
Stupa View Inn,Syangja,Syangja,4202,Cabin,"Tea/Coffee Maker, Breakfast, Hot Water"
Himalayan Retreat,Humla,Humla,1660,Hostel,"Parking, WiFi, Bar"
"Brady, Edwards and Barr Hotel",Rukum West,Rukum West,3228,Cabin,"Bar, Tea/Coffee Maker, Breakfast"
Stupa View Inn,Doti,Doti,8243,Motel,"Garden, WiFi, Hot Water"
Eco Himalaya Lodge,Morang,Morang,4870,Boutique Hotel,"Television, Garden, Breakfast"
Keller-Morgan Hotel,Nawalpur,Nawalpur,6554,Cabin,"Air Conditioning, WiFi, Bar"
"Wallace, Miller and Edwards Hotel",Bhojpur,Bhojpur,2958,Boutique Hotel,"Tea/Coffee Maker, Television, Security"
Eco Himalaya Lodge,Okhaldhunga,Okhaldhunga,2328,Villa,"Room ServiceFamily Rooms, Television, Laundry Service"
Hotel Janaki Palace,Kanchanpur,Kanchanpur,5345,Eco-lodge,"Resturant, Swimming Pool, Parking"
Barnes Ltd Hotel,Rukum West,Rukum West,7502,Guest House,"Hot Water, Security, Resturant"
Melendez-Hale Hotel,Dolpa,Dolpa,9006,Serviced Apartment,"Tea/Coffee Maker, Resturant, Garden"
The Yak Lodge,Syangja,Syangja,6698,Hostel,"Tea/Coffee Maker, Hot Water, Breakfast"
Leonard-Carrillo Hotel,Dhanusha,Dhanusha,2936,Resort,"WiFi, Tea/Coffee Maker, Resturant"
Peaceful Valley Resort,Panchthar,Panchthar,6792,Cabin,"Security, Conference Room, Resturant"
Namaste Homestay,Doti,Doti,7574,Serviced Apartment,"Breakfast, Television, Hot Water"
Pokhara Peace Lodge,Terhathum,Terhathum,4127,Homestay,"Television, Tea/Coffee Maker, Breakfast"
Everest Base Camp Lodge,Pyuthan,Pyuthan,7140,Cabin,"Breakfast, WiFi, Security"
The Yak Lodge,Ramechhap,Ramechhap,3233,Serviced Apartment,"Television, Hot Water, Laundry Service"
Hotel Gorkha,Parsa,Parsa,4634,Boutique Hotel,"Security, Garden, Breakfast"
"Bowman, Clarke and Armstrong Hotel",Chitwan,Chitwan,5243,Eco-lodge,"Swimming Pool, Tea/Coffee Maker, Parking"
"Hartman, King and Torres Hotel",Dhading,Dhading,8031,Lodge,"Bar, Security, Conference Room"
"Burns, Clark and Ramsey Hotel",Gorkha,Gorkha,9989,Villa,"Garden, Bar, WiFi"
Johnson-Hampton Hotel,Ramechhap,Ramechhap,1945,Hostel,"Hot Water, Resturant, Television"
Mountain Sunrise Resort,Panchthar,Panchthar,1531,Guest House,"Bar, Resturant, Security"
Stupa View Inn,Syangja,Syangja,1869,Motel,"Television, Hot Water, Tea/Coffee Maker"
Annapurna Guest House,Kalikot,Kalikot,3747,Hostel,"Parking, WiFi, Room ServiceFamily Rooms"
Lee-Martinez Hotel,Tanahun,Tanahun,2087,Cabin,"Bar, Breakfast, Air Conditioning"
Namaste Homestay,Kaski,Kaski,5668,Serviced Apartment,"Conference Room, Resturant, WiFi"
Pokhara Peace Lodge,Rasuwa,Rasuwa,3806,Boutique Hotel,"Tea/Coffee Maker, WiFi, Parking"
Anderson-Kennedy Hotel,Sarlahi,Sarlahi,6071,Mountain Lodge,"Conference Room, Parking, Laundry Service"
Hotel Gorkha,Manang,Manang,6920,Homestay,"Tea/Coffee Maker, Breakfast, Television"
Harris and Sons Hotel,Kathmandu,Kathmandu,3515,Eco-lodge,"Breakfast, Bar, Room ServiceFamily Rooms"
Fernandez-Young Hotel,Dadeldhura,Dadeldhura,4532,Serviced Apartment,"Conference Room, Laundry Service, Breakfast"
Weaver-Perez Hotel,Rukum West,Rukum West,8325,Cabin,"Swimming Pool, Tea/Coffee Maker, Conference Room"
Alexander PLC Hotel,Parbat,Parbat,1030,Lodge,"Laundry Service, Parking, Conference Room"
Namaste Homestay,Morang,Morang,9432,Serviced Apartment,"Laundry Service, Parking, Breakfast"
Holt Inc Hotel,Bardiya,Bardiya,7448,Bed and Breakfast,"Tea/Coffee Maker, Breakfast, Air Conditioning"
Watson Inc Hotel,Walung,Walung,6549,Villa,"Laundry Service, WiFi, Security"
The Yak Lodge,Ilam,Ilam,2419,Eco-lodge,"Garden, Laundry Service, Swimming Pool"
"Powell, Ford and Mitchell Hotel",Dolakha,Dolakha,9497,Serviced Apartment,"Conference Room, Television, Resturant"
Lumbini Heritage Hotel,Sunsari,Sunsari,4436,Mountain Lodge,"Swimming Pool, Parking, Tea/Coffee Maker"
Namaste Homestay,Achham,Achham,3445,Boutique Hotel,"Conference Room, Resturant, Swimming Pool"
The Yak Lodge,Mustang,Mustang,7533,Mountain Lodge,"Conference Room, Security, Resturant"
Lawrence-Arias Hotel,Bara,Bara,4479,Hotel,"Hot Water, Parking, Television"
"Miller, Townsend and Brown Hotel",Dolpa,Dolpa,3152,Cabin,"Swimming Pool, Garden, Room ServiceFamily Rooms"
The Yak Lodge,Dhading,Dhading,9747,Motel,"Swimming Pool, Parking, Room ServiceFamily Rooms"
Freeman-Mendoza Hotel,Mustang,Mustang,6896,Motel,"Swimming Pool, Television, Garden"
"Gonzalez, Griffith and Scott Hotel",Lamjung,Lamjung,9735,Guest House,"Parking, Television, Hot Water"
Everest Base Camp Lodge,Mugu,Mugu,6382,Mountain Lodge,"WiFi, Breakfast, Air Conditioning"
Bradford-Schultz Hotel,Tanahun,Tanahun,3757,Motel,"Garden, Bar, Hot Water"
Pokhara Peace Lodge,Lamjung,Lamjung,1872,Eco-lodge,"Hot Water, Room ServiceFamily Rooms, Breakfast"
Valencia Group Hotel,Bhojpur,Bhojpur,7010,Boutique Hotel,"Television, Air Conditioning, Laundry Service"
Namaste Homestay,Sindhupalchok,Sindhupalchok,5741,Lodge,"Security, WiFi, Laundry Service"
Hotel Buddha,Myagdi,Myagdi,5391,Guest House,"WiFi, Air Conditioning, Television"
Morrison-Morris Hotel,Siraha,Siraha,5015,Hostel,"Swimming Pool, Bar, Room ServiceFamily Rooms"
Colon-Conley Hotel,Udayapur,Udayapur,6182,Cabin,"Security, Room ServiceFamily Rooms, Breakfast"
Pokhara Peace Lodge,Tanahun,Tanahun,7540,Motel,"Hot Water, Air Conditioning, WiFi"
Kathmandu Garden Inn,Nuwakot,Nuwakot,6879,Cabin,"Room ServiceFamily Rooms, Hot Water, Breakfast"
Hotel Everest View,Sankhuwasabha,Sankhuwasabha,5079,Villa,"Room ServiceFamily Rooms, Parking, Security"
"Nichols, Sanchez and Young Hotel",Siraha,Siraha,5784,Boutique Hotel,"Tea/Coffee Maker, Resturant, Television"
Namaste Homestay,Ramechhap,Ramechhap,3271,Cabin,"Breakfast, Swimming Pool, Parking"
"Frey, Hernandez and Davis Hotel",Sankhuwasabha,Sankhuwasabha,9435,Bed and Breakfast,"Bar, Hot Water, Conference Room"
Mcclain-Duffy Hotel,Jhapa,Jhapa,5406,Lodge,"Room ServiceFamily Rooms, Garden, Breakfast"
"Williams, Hampton and Whitehead Hotel",Mahottari,Mahottari,7365,Boutique Hotel,"WiFi, Resturant, Tea/Coffee Maker"
Ellis Group Hotel,Sarlahi,Sarlahi,7065,Homestay,"Parking, Swimming Pool, Hot Water"
Ferguson Inc Hotel,Rautahat,Rautahat,1813,Cabin,"Television, Room ServiceFamily Rooms, Swimming Pool"
Curtis-Turner Hotel,Syangja,Syangja,4820,Guest House,"Parking, Hot Water, WiFi"
Moore Inc Hotel,Kavrepalanchok,Kavrepalanchok,3609,Eco-lodge,"Resturant, Parking, Garden"
Stupa View Inn,Kalikot,Kalikot,6340,Serviced Apartment,"Parking, Security, WiFi"
Eco Himalaya Lodge,Mahottari,Mahottari,3676,Lodge,"Swimming Pool, Bar, Television"
Himalayan Retreat,Dolakha,Dolakha,8057,Serviced Apartment,"Resturant, WiFi, Air Conditioning"
The Yak Lodge,Nawalpur,Nawalpur,5433,Serviced Apartment,"Air Conditioning, Room ServiceFamily Rooms, Hot Water"
The Yak Lodge,Dolpa,Dolpa,2325,Bed and Breakfast,"Swimming Pool, Conference Room, Breakfast"
Himalayan Retreat,Lalitpur,Lalitpur,6312,Boutique Hotel,"Room ServiceFamily Rooms, Swimming Pool, Parking"
Schwartz-Scott Hotel,Kaski,Kaski,2314,Hostel,"Bar, Garden, Resturant"
Stupa View Inn,Rasuwa,Rasuwa,6957,Hotel,"Laundry Service, Conference Room, Hot Water"
"Rivas, Peterson and Hernandez Hotel",Dhankuta,Dhankuta,3529,Bed and Breakfast,"Security, Parking, Tea/Coffee Maker"
Mccoy LLC Hotel,Ramechhap,Ramechhap,3356,Hotel,"Resturant, Conference Room, Air Conditioning"
Riddle and Sons Hotel,Lalitpur,Lalitpur,7014,Villa,"Room ServiceFamily Rooms, Security, Television"
Stewart Group Hotel,Parsa,Parsa,9665,Eco-lodge,"Resturant, Room ServiceFamily Rooms, Tea/Coffee Maker"
Stupa View Inn,Achham,Achham,5951,Hostel,"Bar, Laundry Service, Conference Room"
Hotel Everest View,Rukum East,Rukum East,5504,Villa,"Air Conditioning, Breakfast, Television"
Armstrong-Rios Hotel,Arghakhanchi,Arghakhanchi,2240,Eco-lodge,"Conference Room, WiFi, Hot Water"
Hotel Gorkha,Mahottari,Mahottari,6487,Guest House,"Garden, Resturant, Television"
Nepal Comfort Stay,Makwanpur,Makwanpur,6634,Boutique Hotel,"Hot Water, Garden, Television"
Peaceful Valley Resort,Udayapur,Udayapur,3040,Mountain Lodge,"Conference Room, Breakfast, Garden"
Peaceful Valley Resort,Sankhuwasabha,Sankhuwasabha,7696,Motel,"Air Conditioning, Laundry Service, Tea/Coffee Maker"
Myers-Morton Hotel,Jumla,Jumla,5818,Bed and Breakfast,"Security, Tea/Coffee Maker, Swimming Pool"
Thomas Inc Hotel,Parbat,Parbat,9852,Guest House,"Air Conditioning, Television, Garden"
Himalayan Retreat,Humla,Humla,3835,Hotel,"Resturant, Security, Swimming Pool"
Lewis Ltd Hotel,Terhathum,Terhathum,3639,Serviced Apartment,"Conference Room, Resturant, Swimming Pool"
"White, Livingston and King Hotel",Rukum East,Rukum East,7813,Hotel,"Room ServiceFamily Rooms, Bar, Security"
Lumbini Heritage Hotel,Dolpa,Dolpa,2188,Mountain Lodge,"Tea/Coffee Maker, Parking, Conference Room"
Johnson-Lucas Hotel,Chitwan,Chitwan,9394,Motel,"Resturant, Television, Bar"
Pokhara Peace Lodge,Doti,Doti,6924,Mountain Lodge,"Hot Water, Resturant, Room ServiceFamily Rooms"
Campos Group Hotel,Rukum East,Rukum East,3094,Hotel,"Air Conditioning, Television, Swimming Pool"
Hotel Gorkha,Rukum East,Rukum East,1266,Hostel,"Parking, Laundry Service, Room ServiceFamily Rooms"
Cooper-Ramirez Hotel,Sunsari,Sunsari,2519,Hotel,"Room ServiceFamily Rooms, Bar, Tea/Coffee Maker"
Hotel Everest View,Myagdi,Myagdi,8535,Eco-lodge,"Swimming Pool, Room ServiceFamily Rooms, Garden"
Jordan-Perez Hotel,Dhanusha,Dhanusha,8026,Resort,"Garden, Air Conditioning, Resturant"
Vargas-Foley Hotel,Pyuthan,Pyuthan,4724,Eco-lodge,"WiFi, Garden, Air Conditioning"
Namaste Homestay,Jumla,Jumla,9726,Serviced Apartment,"Parking, Room ServiceFamily Rooms, Television"
Anderson Inc Hotel,Palpa,Palpa,8283,Homestay,"Bar, Breakfast, Security"
Lumbini Heritage Hotel,Doti,Doti,7578,Bed and Breakfast,"Swimming Pool, Television, Conference Room"
Hotel Buddha,Salyan,Salyan,8458,Villa,"Air Conditioning, Hot Water, Room ServiceFamily Rooms"
The Yak Lodge,Bardiya,Bardiya,2232,Eco-lodge,"Bar, Television, Resturant"
Mountain Sunrise Resort,Tanahun,Tanahun,1685,Cabin,"Air Conditioning, Room ServiceFamily Rooms, Garden"
Eco Himalaya Lodge,Rasuwa,Rasuwa,2704,Hostel,"Laundry Service, Resturant, Security"
"Livingston, Miller and Craig Hotel",Tanahun,Tanahun,2356,Hostel,"Parking, Air Conditioning, Security"
Smith-Daniels Hotel,Dhading,Dhading,5880,Serviced Apartment,"Parking, Hot Water, Resturant"
Thomas-Richard Hotel,Darchula,Darchula,4454,Bed and Breakfast,"Laundry Service, Resturant, Tea/Coffee Maker"
Himalayan Retreat,Morang,Morang,2068,Guest House,"Television, Laundry Service, Tea/Coffee Maker"
"Carlson, Foster and Mcknight Hotel",Syangja,Syangja,1899,Eco-lodge,"Laundry Service, Garden, Conference Room"
Eco Himalaya Lodge,Manang,Manang,1315,Boutique Hotel,"Breakfast, Security, Hot Water"
Himalayan Retreat,Sunsari,Sunsari,1647,Hotel,"Tea/Coffee Maker, Garden, Laundry Service"
Bauer PLC Hotel,Rukum West,Rukum West,1377,Lodge,"Hot Water, Swimming Pool, Laundry Service"
Hotel Everest View,Kathmandu,Kathmandu,5446,Boutique Hotel,"Parking, Breakfast, Laundry Service"
Eco Himalaya Lodge,Panchthar,Panchthar,7192,Boutique Hotel,"Bar, Resturant, WiFi"
Coleman-Castillo Hotel,Doti,Doti,7608,Serviced Apartment,"Conference Room, Tea/Coffee Maker, Room ServiceFamily Rooms"
"Mann, Barnes and Harris Hotel",Kavrepalanchok,Kavrepalanchok,2146,Mountain Lodge,"Swimming Pool, Resturant, Bar"
The Yak Lodge,Taplejung,Taplejung,8966,Cabin,"Garden, Conference Room, WiFi"
Pokhara Peace Lodge,Rupandehi,Rupandehi,6981,Mountain Lodge,"Swimming Pool, Garden, Breakfast"
Everest Base Camp Lodge,Mugu,Mugu,4706,Hotel,"Resturant, Swimming Pool, Air Conditioning"
Lumbini Heritage Hotel,Arghakhanchi,Arghakhanchi,7693,Hostel,"Laundry Service, Air Conditioning, Television"
Eco Himalaya Lodge,Arghakhanchi,Arghakhanchi,9629,Eco-lodge,"Breakfast, WiFi, Room ServiceFamily Rooms"
Everest Base Camp Lodge,Sarlahi,Sarlahi,2678,Guest House,"Swimming Pool, Hot Water, Conference Room"
Hotel Gorkha,Humla,Humla,2454,Lodge,"Resturant, Bar, Tea/Coffee Maker"
Fields and Sons Hotel,Chitwan,Chitwan,5988,Bed and Breakfast,"Bar, Laundry Service, Resturant"
Annapurna Guest House,Bhaktapur,Bhaktapur,9792,Boutique Hotel,"Breakfast, Tea/Coffee Maker, WiFi"
Namaste Homestay,Chitwan,Chitwan,4535,Guest House,"WiFi, Swimming Pool, Breakfast"
Blake PLC Hotel,Dhankuta,Dhankuta,5538,Bed and Breakfast,"Hot Water, Swimming Pool, Conference Room"
"David, Edwards and Watson Hotel",Darchula,Darchula,1196,Homestay,"Television, Security, Room ServiceFamily Rooms"
Douglas-Shaw Hotel,Dhanusha,Dhanusha,6255,Hotel,"Hot Water, Tea/Coffee Maker, Resturant"
"Olson, Ramirez and Ruiz Hotel",Dhankuta,Dhankuta,7042,Hotel,"Security, Television, Bar"
The Yak Lodge,Rautahat,Rautahat,1405,Guest House,"Room ServiceFamily Rooms, Security, Swimming Pool"
Stupa View Inn,Humla,Humla,8677,Boutique Hotel,"Television, Garden, Laundry Service"
Kelly-Parker Hotel,Dhading,Dhading,2667,Boutique Hotel,"Garden, Security, Parking"
Everest Base Camp Lodge,Lalitpur,Lalitpur,5687,Guest House,"Conference Room, Resturant, Television"
Johnson-Johnson Hotel,Kailali,Kailali,4883,Guest House,"Tea/Coffee Maker, Hot Water, Parking"
Stupa View Inn,Ilam,Ilam,2591,Homestay,"Garden, Security, Air Conditioning"
Hotel Everest View,Bhojpur,Bhojpur,3337,Bed and Breakfast,"Hot Water, Security, Tea/Coffee Maker"
Hotel Buddha,Morang,Morang,2261,Cabin,"Garden, Bar, Tea/Coffee Maker"
Lynch PLC Hotel,Tanahun,Tanahun,1768,Guest House,"Television, Security, Parking"
"Ramirez, White and Owens Hotel",Kanchanpur,Kanchanpur,9010,Cabin,"Parking, WiFi, Conference Room"
Peaceful Valley Resort,Nawalpur,Nawalpur,6014,Serviced Apartment,"Garden, Conference Room, Laundry Service"
Sellers Inc Hotel,Bhojpur,Bhojpur,8490,Bed and Breakfast,"Conference Room, Hot Water, Bar"
Hotel Buddha,Dolpa,Dolpa,2424,Bed and Breakfast,"Air Conditioning, WiFi, Breakfast"
"Boyer, White and Hawkins Hotel",Lalitpur,Lalitpur,7120,Hostel,"Hot Water, Bar, Air Conditioning"
Eco Himalaya Lodge,Bardiya,Bardiya,5849,Resort,"Hot Water, Bar, Swimming Pool"
Jenkins LLC Hotel,Lalitpur,Lalitpur,7114,Mountain Lodge,"Air Conditioning, Resturant, Conference Room"
Stupa View Inn,Palpa,Palpa,1368,Guest House,"Security, Conference Room, Garden"
"Parker, Davis and Armstrong Hotel",Arghakhanchi,Arghakhanchi,8721,Hotel,"Tea/Coffee Maker, Resturant, Room ServiceFamily Rooms"
"Silva, Davila and Andrade Hotel",Dolpa,Dolpa,5637,Resort,"Resturant, Breakfast, Security"
"Howell, Simmons and White Hotel",Kathmandu,Kathmandu,8270,Villa,"Swimming Pool, Television, Breakfast"
Annapurna Guest House,Mahottari,Mahottari,9829,Hotel,"Air Conditioning, Resturant, WiFi"
Jones-Hernandez Hotel,Taplejung,Taplejung,7132,Lodge,"WiFi, Bar, Room ServiceFamily Rooms"
"Willis, Sweeney and Lindsey Hotel",Okhaldhunga,Okhaldhunga,8280,Hotel,"Laundry Service, Security, Resturant"
Hotel Buddha,Terhathum,Terhathum,3859,Mountain Lodge,"Tea/Coffee Maker, Bar, Laundry Service"
Peaceful Valley Resort,Myagdi,Myagdi,3872,Serviced Apartment,"Bar, Tea/Coffee Maker, WiFi"
"Kim, Gentry and Wright Hotel",Dang,Dang,9241,Motel,"Television, Room ServiceFamily Rooms, Tea/Coffee Maker"
Everest Base Camp Lodge,Palpa,Palpa,2314,Mountain Lodge,"Laundry Service, Hot Water, Bar"
Peaceful Valley Resort,Ramechhap,Ramechhap,8072,Homestay,"Garden, Room ServiceFamily Rooms, Parking"
Lumbini Heritage Hotel,Parbat,Parbat,6982,Motel,"Air Conditioning, Tea/Coffee Maker, Breakfast"
Hotel Everest View,Lalitpur,Lalitpur,4556,Cabin,"Breakfast, Air Conditioning, Television"
Durham and Sons Hotel,Bardiya,Bardiya,2079,Cabin,"Breakfast, Conference Room, Garden"
Carter-Campbell Hotel,Rolpa,Rolpa,1098,Guest House,"Tea/Coffee Maker, Air Conditioning, Security"
Gutierrez-Martin Hotel,Udayapur,Udayapur,4538,Hotel,"WiFi, Laundry Service, Bar"
"Warner, Duffy and Jones Hotel",Dhankuta,Dhankuta,2921,Motel,"Air Conditioning, Parking, Conference Room"
"Wyatt, Weber and Perez Hotel",Palpa,Palpa,7416,Resort,"Breakfast, Resturant, Laundry Service"
Rogers Ltd Hotel,Rautahat,Rautahat,9935,Hostel,"Parking, Air Conditioning, Television"
"Brooks, Ramirez and Turner Hotel",Kanchanpur,Kanchanpur,9303,Resort,"Resturant, Tea/Coffee Maker, Hot Water"
Peaceful Valley Resort,Ramechhap,Ramechhap,8263,Hostel,"Hot Water, Resturant, Security"
Eco Himalaya Lodge,Makwanpur,Makwanpur,5558,Motel,"Hot Water, Security, Bar"
Nepal Comfort Stay,Makwanpur,Makwanpur,7474,Mountain Lodge,"Resturant, Air Conditioning, Laundry Service"
Everest Base Camp Lodge,Dhanusha,Dhanusha,9758,Cabin,"Swimming Pool, Breakfast, Security"
Peaceful Valley Resort,Dhading,Dhading,1860,Homestay,"Tea/Coffee Maker, Television, Breakfast"
Kathmandu Garden Inn,Bhojpur,Bhojpur,5254,Eco-lodge,"Garden, Room ServiceFamily Rooms, Tea/Coffee Maker"
Peaceful Valley Resort,Ramechhap,Ramechhap,4035,Hostel,"Tea/Coffee Maker, Conference Room, Swimming Pool"
"Fuller, Maxwell and Martin Hotel",Achham,Achham,7910,Hotel,"Breakfast, Tea/Coffee Maker, WiFi"
Kathmandu Garden Inn,Mustang,Mustang,1003,Eco-lodge,"Security, Breakfast, Bar"
Stupa View Inn,Darchula,Darchula,1581,Eco-lodge,"Room ServiceFamily Rooms, Tea/Coffee Maker, Hot Water"
Hotel Janaki Palace,Udayapur,Udayapur,4927,Serviced Apartment,"Room ServiceFamily Rooms, Breakfast, Bar"
Lumbini Heritage Hotel,Bhojpur,Bhojpur,7271,Villa,"Television, WiFi, Bar"
The Yak Lodge,Mahottari,Mahottari,9245,Lodge,"WiFi, Breakfast, Garden"
"Morris, Alexander and Harris Hotel",Parsa,Parsa,8503,Motel,"Room ServiceFamily Rooms, WiFi, Garden"
"Pena, Bradley and Gross Hotel",Kailali,Kailali,3092,Guest House,"Garden, Security, WiFi"
Namaste Homestay,Surkhet,Surkhet,4290,Resort,"Resturant, Tea/Coffee Maker, Swimming Pool"
Kathmandu Garden Inn,Kapilvastu,Kapilvastu,2687,Guest House,"Swimming Pool, Garden, Breakfast"
