From,To,TransportMode,TravelTime_hr,TravelCost_NPR
Musikot,Soti Khola,Flight,0.2,769
Musikot,Bindabasini Temple (Bandipur),Bus,9.9,2002
Musikot,Sailung Danda,Bus,8.0,1812
Musikot,Chepang Hill Trail,Bus,4.6,1234
Musikot,Mallaj,Jeep,6.7,2919
Musikot,Barpak Village,Taxi,5.6,3040
Musikot,Lete,Bus,7.9,2163
Musikot,Sundarijal,Jeep,3.1,1731
Musikot,Triveni Dham,Bus,9.6,2733
Musikot,Koshi Tappu Wildlife Reserve,Bus,5.9,1576
Musikot,Nyatapola Temple,Jeep,9.0,4827
Musikot,Antu Danda,Bus,4.1,965
Musikot,Khokana,Bus,7.9,2175
Musikot,Badimalika Temple,Flight,1.9,5868
Musikot,Diktel Bazaar,Flight,1.0,2235
Musikot,Bhairabi Temple,Flight,0.9,3048
Musikot,Lumbini - Birthplace of Buddha,Taxi,3.5,1924
Musikot,Saipal Base Camp,Jeep,2.9,1648
Musikot,Tsho Rolpa Lake,Flight,1.3,4848
Musikot,Rupa Lake,Bus,5.0,1492
Musikot,Bandipur,Flight,0.9,3523
Musikot,Dhorpatan Valley,Taxi,7.7,5762
Musikot,Kushma Cliff Bridge,Bus,9.6,2365
Musikot,Naag Pokhari,Flight,0.7,2704
Musikot,Chitwan National Park,Jeep,3.7,1946
Musikot,Budhi Gandaki Valley,Taxi,7.3,4641
Musikot,Elephant Breeding Center,Jeep,3.6,1648
Musikot,Lwang Ghalel Village,Taxi,5.7,3050
Musikot,Shree Antu Sunrise Point,Bus,9.0,2624
Musikot,Baundeshwor Cave,Jeep,8.9,4008
Musikot,Rupa Tal,Taxi,5.5,3083
Musikot,Kulekhani Reservoir,Taxi,5.1,2680
Musikot,Chandragiri Hills,Bus,5.1,1183
Musikot,Siddha Gufa,Bus,9.8,2411
Musikot,Dattatreya Temple,Bus,6.2,1399
Musikot,Aathbish Danda,Bus,6.5,1927
Musikot,Rangeli,Bus,6.5,1356
Musikot,Kalinchowk,Bus,8.8,1974
Musikot,Panauti,Taxi,5.0,3622
Musikot,Patan Durbar Square,Bus,8.0,1891
Musikot,Lo Manthang,Taxi,7.2,3834
Musikot,Champadevi Hill,Taxi,5.0,3761
Musikot,Pulchowki Hill,Jeep,3.5,1903
Musikot,Muktinath Temple,Jeep,8.8,5344
Musikot,Manaslu Base Camp,Bus,7.3,1772
Musikot,Dharan Clock Tower,Flight,0.9,3142
Musikot,Tansen Bazaar,Taxi,5.3,3317
Musikot,Syarpu Lake,Bus,5.2,1313
Musikot,Ranighat Palace,Bus,8.4,2021
Musikot,Siddhi Binayak,Bus,7.7,2276
Musikot,Deurali Gumba,Jeep,4.4,2196
Musikot,Bageshwori Temple,Jeep,7.0,3848
Musikot,Resunga,Bus,5.0,1321
Musikot,Tamang Heritage Trail,Flight,1.4,3725
Musikot,Taudaha Lake,Taxi,4.5,3260
Musikot,Ram Mandir,Bus,7.9,2136
Musikot,Bhaktapur Durbar Square,Bus,5.0,1272
Musikot,Bardia National Park,Flight,0.3,849
Musikot,Bhairav Kunda,Bus,6.3,1587
Musikot,Gupteshwor Cave,Bus,8.2,2333
Musikot,Bindhyabasini Temple,Jeep,8.0,4688
Musikot,Dakshinkali Temple,Taxi,3.6,1934
Musikot,Bhojpur Bazaar,Jeep,8.0,5075
Musikot,Khaptad National Park,Taxi,5.0,3904
Musikot,Palung Valley,Bus,5.2,1421
Musikot,Sirubari,Bus,4.8,1415
Musikot,Phulchowki Botanical Garden,Bus,6.2,1817
Musikot,Numbur Cheese Circuit,Flight,0.8,2669
Musikot,Dhorpatan Hunting Reserve,Taxi,3.8,2216
Musikot,Charikot,Taxi,5.6,3500
Musikot,Siruwa Pokhari,Jeep,8.5,5091
Musikot,Tatopani Hot Spring,Bus,9.0,2392
Musikot,Piple Hill,Bus,6.6,1528
Musikot,Kali Gandaki Gorge,Bus,7.0,1556
Musikot,Tilicho Lake,Flight,0.9,3506
Musikot,Bhanbhane Pokhari,Jeep,7.9,4144
Musikot,Simbuwa Khola Valley,Taxi,3.8,2266
Musikot,Langtang National Park,Bus,4.7,1374
Musikot,Kangchenjunga Base Camp,Bus,9.7,2836
Musikot,Bhotekoshi Bungee Jump,Bus,5.7,1190
Musikot,Bhujung Village,Bus,9.7,2766
Musikot,Manakamana Temple,Jeep,4.4,2437
Musikot,Sandakpur,Taxi,3.7,2781
Musikot,Shuklaphanta National Park,Bus,9.0,2344
Musikot,Chobhar Gorge,Jeep,6.9,3050
Musikot,Belbari Forest,Bus,9.3,2459
Musikot,Tengboche Monastery,Flight,1.2,3146
Musikot,Namche Bazaar,Bus,8.9,2196
Musikot,Ruru Kshetra,Taxi,5.9,3938
Musikot,Chhahara Waterfall,Bus,9.4,2806
Musikot,Maya Devi Temple,Bus,9.1,1844
Musikot,Bhedetar View Tower,Taxi,5.2,3189
Musikot,Davis Falls,Taxi,4.6,3625
Musikot,Salyan Khalanga,Bus,4.5,1124
Musikot,Hanuman Dhoka,Bus,4.7,1212
Musikot,Khandadevi Temple,Flight,1.2,2851
Musikot,Khopra Danda,Taxi,3.3,2272
Musikot,Garden of Dreams,Bus,9.2,2389
Musikot,Siddha Cave,Bus,7.8,1569
Musikot,Kanyam Tea Garden,Jeep,6.5,3500
Musikot,Kamalbari Lake,Bus,8.3,1978
Musikot,Thakurdwara,Taxi,4.4,3235
Musikot,Phewa Lake,Bus,5.9,1522
Musikot,Kapilvastu Ruins,Flight,1.3,3447
Musikot,Ringmo Village,Flight,0.3,805
Musikot,Nuwakot Trishuli Dam,Bus,7.2,2155
Musikot,Nepalgunj,Jeep,7.8,5122
Musikot,Gahawa Mai Temple,Bus,6.5,1411
Musikot,Namobuddha,Jeep,4.4,2415
Musikot,Panchakanya Hill,Bus,8.0,2114
Musikot,Tsum Valley,Taxi,4.1,3071
Musikot,Nagi Village,Taxi,4.4,3432
Musikot,Pakuwal Lake,Bus,7.8,2221
Musikot,Gaurishankar Conservation Area,Flight,1.4,5520
Musikot,Narchyang Waterfall,Jeep,6.6,3639
Musikot,Swargadwari,Jeep,5.7,2298
Musikot,Ramaroshan Wetland,Flight,0.6,1577
Musikot,Gosaikunda,Taxi,7.2,4095
Musikot,Rani Pokhari,Taxi,3.1,2059
Musikot,Begnas Lake,Bus,8.1,2079
Musikot,Seti River Gorge,Bus,8.6,2060
Musikot,Nagarjun Forest,Jeep,6.9,3076
Musikot,Banskharka Orange Farm,Bus,5.1,1151
Musikot,Kharpunath,Bus,4.8,1070
Panchthar Tea Garden,Tila River Valley,Bus,8.4,2182
Panchthar Tea Garden,Koshi Barrage,Taxi,8.2,5090
Panchthar Tea Garden,Chhimkeshwori Hill,Bus,7.1,1925
Panchthar Tea Garden,Arun Valley,Jeep,5.7,3194
Panchthar Tea Garden,Chhimkeshwori,Bus,5.4,1469
Panchthar Tea Garden,Musikot,Taxi,4.3,2896
Panchthar Tea Garden,Mohare Danda,Flight,1.2,3650
Panchthar Tea Garden,Tribeni Dham,Taxi,7.8,5815
Panchthar Tea Garden,Dhaulagiri Base Camp,Bus,4.9,1366
Panchthar Tea Garden,Swayambhunath Stupa,Flight,0.8,2253
Panchthar Tea Garden,Shivapuri Nagarjun National Park,Taxi,3.4,2422
Panchthar Tea Garden,Chainpur Bazaar,Bus,4.5,1290
Panchthar Tea Garden,Lamjung Himal Base Camp,Jeep,3.4,1634
Panchthar Tea Garden,Jalbire Waterfall,Taxi,7.0,3912
Panchthar Tea Garden,Rani Mahal,Bus,9.4,2088
Panchthar Tea Garden,Kakrebihar,Taxi,6.4,3388
Panchthar Tea Garden,Silichho Peak,Flight,1.1,3260
Panchthar Tea Garden,Khaireni Hill,Jeep,4.4,2159
Panchthar Tea Garden,Panchase Hill,Jeep,4.4,2353
Panchthar Tea Garden,Jomsom,Jeep,5.6,2533
Panchthar Tea Garden,Okhaldhunga Memorial Park,Jeep,5.4,2183
Panchthar Tea Garden,Baglung Kalika Temple,Taxi,4.5,3095
Panchthar Tea Garden,Maipokhari,Taxi,3.3,2060
Panchthar Tea Garden,Ramdhuni Mandir,Jeep,3.5,2314
Panchthar Tea Garden,Bhedetar Zipline,Flight,0.5,1394
Panchthar Tea Garden,Thabang Village,Bus,5.7,1646
Panchthar Tea Garden,Ridi Bazaar,Taxi,4.3,3116
Panchthar Tea Garden,Kagbeni,Bus,6.5,1496
Panchthar Tea Garden,Khaptad Baba Ashram,Jeep,4.2,2229
Panchthar Tea Garden,Simikot,Bus,7.7,1953
Panchthar Tea Garden,Rara Lake,Bus,5.5,1446
Panchthar Tea Garden,Badhaiya Tal,Taxi,3.8,2507
Panchthar Tea Garden,Rishikesh Complex (Devghat),Jeep,6.5,2919
Panchthar Tea Garden,Ghodepani,Bus,4.9,1447
Panchthar Tea Garden,Chandannath Temple,Bus,8.2,1754
Panchthar Tea Garden,Bishazari Tal,Bus,5.2,1103
Panchthar Tea Garden,Hanuman Temple,Bus,10.2,2886
Panchthar Tea Garden,International Mountain Museum,Bus,9.8,2502
Panchthar Tea Garden,Madan Ashrit Memorial Park,Bus,6.2,1374
Panchthar Tea Garden,Mahaboudha Temple,Flight,0.6,1419
Panchthar Tea Garden,Tindhare Waterfall,Bus,6.2,1400
Panchthar Tea Garden,Rolpa Martyrs Trail,Taxi,5.3,4150
Panchthar Tea Garden,Bajura Budhinanda Lake,Flight,1.5,5645
Panchthar Tea Garden,Tallo Dungeshwor,Bus,4.8,992
Panchthar Tea Garden,Tharu Village,Bus,5.0,1199
Panchthar Tea Garden,Patal Bhuvaneshwor Cave,Bus,8.6,1769
Panchthar Tea Garden,Everest Base Camp,Bus,4.8,1027
Panchthar Tea Garden,Ghale Gaun,Flight,1.7,6734
Panchthar Tea Garden,Sarangkot,Bus,5.0,1159
Panchthar Tea Garden,Dudh Kunda,Bus,3.9,808
Panchthar Tea Garden,Chhanwa Gumba,Bus,7.3,1833
Panchthar Tea Garden,Nuwakot Palace Complex,Jeep,6.8,3503
Panchthar Tea Garden,Hiranya Varna Mahavihar,Flight,1.3,5033
Panchthar Tea Garden,Sailung,Taxi,6.7,4946
Panchthar Tea Garden,Jaleshwor Mahadev Temple,Bus,5.5,1291
Panchthar Tea Garden,Pakhure Pokhari,Bus,7.5,1952
Panchthar Tea Garden,Janaki Mandir,Bus,6.0,1584
Panchthar Tea Garden,Ghodaghodi Lake,Taxi,6.9,3788
Panchthar Tea Garden,Maula Kalika Temple,Jeep,7.3,3013
Panchthar Tea Garden,Laprak,Bus,7.2,1672
Panchthar Tea Garden,Simraungadh Ruins,Bus,6.6,1865
Panchthar Tea Garden,Panch Pokhari,Bus,5.6,1634
Panchthar Tea Garden,Pathibhara Devi Temple,Jeep,4.6,2550
Panchthar Tea Garden,Dodhara Chandani Bridge,Taxi,6.6,3352
Panchthar Tea Garden,Baraha Kshetra,Jeep,5.7,3136
Panchthar Tea Garden,Baraha Pokhari,Jeep,4.5,2795
Panchthar Tea Garden,Sisne Himal,Bus,9.3,1931
Panchthar Tea Garden,Gokyo Lakes,Bus,5.9,1306
Panchthar Tea Garden,Daunne Hill,Jeep,6.9,3534
Panchthar Tea Garden,Birgunj Clock Tower,Bus,4.1,830
Panchthar Tea Garden,Shey Phoksundo Lake,Jeep,4.1,1758
Panchthar Tea Garden,Gorkha Durbar,Flight,0.6,2070
Panchthar Tea Garden,Temke Dada,Bus,9.0,2418
Panchthar Tea Garden,Bhimsen Temple,Bus,7.6,1964
Panchthar Tea Garden,Guerrilla Trek,Flight,0.3,1104
Panchthar Tea Garden,Bungamati Village,Taxi,5.1,2702
Panchthar Tea Garden,Poon Hill,Flight,0.1,312
Panchthar Tea Garden,Chamunda Temple,Taxi,5.1,3477
Panchthar Tea Garden,Sitalpati Market,Taxi,7.5,4012
Panchthar Tea Garden,Ashoka Pillar,Flight,1.0,2929
Panchthar Tea Garden,World Peace Pagoda,Bus,4.0,1133
Panchthar Tea Garden,Kapuche Glacier Lake,Flight,0.6,2159
Panchthar Tea Garden,Tatopani,Jeep,7.3,4473
Panchthar Tea Garden,Boudhanath Stupa,Bus,7.7,1907
Panchthar Tea Garden,Rukumkot,Bus,8.6,2219
Panchthar Tea Garden,Makalu Base Camp,Jeep,8.9,5737
Panchthar Tea Garden,Hetauda Martyrs Park,Taxi,7.1,3980
Panchthar Tea Garden,Balmiki Ashram,Flight,1.3,3355
Panchthar Tea Garden,Salpa Pokhari,Bus,4.5,1162
Panchthar Tea Garden,Chhintang,Bus,7.4,1510
Panchthar Tea Garden,Bhairahawa Buddha Park,Jeep,7.1,4576
Panchthar Tea Garden,Barpak,Bus,8.6,2513
Panchthar Tea Garden,Gorkha Museum,Bus,9.0,2061
Panchthar Tea Garden,Dhulikhel View Tower,Bus,8.6,1780
Panchthar Tea Garden,Pashupatinath Temple,Bus,6.5,1548
Panchthar Tea Garden,Api Base Camp,Taxi,3.0,1515
Panchthar Tea Garden,Trishuli River View,Bus,7.9,2166
Panchthar Tea Garden,Soti Khola,Bus,9.3,2515
Panchthar Tea Garden,Bindabasini Temple (Bandipur),Jeep,9.0,5700
Panchthar Tea Garden,Sailung Danda,Bus,5.1,1375
Panchthar Tea Garden,Chepang Hill Trail,Taxi,7.6,3894
Panchthar Tea Garden,Mallaj,Flight,0.7,2349
Panchthar Tea Garden,Barpak Village,Taxi,4.2,2339
Panchthar Tea Garden,Lete,Bus,4.6,1052
Panchthar Tea Garden,Sundarijal,Jeep,3.9,2175
Panchthar Tea Garden,Triveni Dham,Bus,7.9,2048
Panchthar Tea Garden,Koshi Tappu Wildlife Reserve,Bus,8.8,2492
Panchthar Tea Garden,Nyatapola Temple,Bus,5.1,1438
Panchthar Tea Garden,Antu Danda,Flight,0.7,1829
Panchthar Tea Garden,Khokana,Bus,4.8,1211
Panchthar Tea Garden,Badimalika Temple,Jeep,8.5,5443
Panchthar Tea Garden,Diktel Bazaar,Taxi,6.1,3874
Panchthar Tea Garden,Bhairabi Temple,Bus,4.7,989
Panchthar Tea Garden,Lumbini - Birthplace of Buddha,Bus,5.8,1671
Panchthar Tea Garden,Saipal Base Camp,Bus,8.9,2261
Panchthar Tea Garden,Tsho Rolpa Lake,Bus,8.8,2489
Panchthar Tea Garden,Rupa Lake,Taxi,7.3,4772
Panchthar Tea Garden,Bandipur,Taxi,7.8,5019
Panchthar Tea Garden,Dhorpatan Valley,Jeep,7.5,3160
Panchthar Tea Garden,Kushma Cliff Bridge,Bus,8.1,1942
Panchthar Tea Garden,Naag Pokhari,Bus,7.1,1640
Panchthar Tea Garden,Chitwan National Park,Taxi,3.4,2140
Panchthar Tea Garden,Budhi Gandaki Valley,Jeep,5.0,2845
Panchthar Tea Garden,Elephant Breeding Center,Taxi,7.1,5521
Panchthar Tea Garden,Lwang Ghalel Village,Flight,1.2,4416
Panchthar Tea Garden,Shree Antu Sunrise Point,Bus,8.0,2069
Panchthar Tea Garden,Baundeshwor Cave,Bus,4.7,1013
Panchthar Tea Garden,Rupa Tal,Bus,8.6,2440
Panchthar Tea Garden,Kulekhani Reservoir,Taxi,8.1,6297
Panchthar Tea Garden,Chandragiri Hills,Bus,8.6,1891
Panchthar Tea Garden,Siddha Gufa,Taxi,4.6,3000
Panchthar Tea Garden,Dattatreya Temple,Jeep,7.0,2890
Panchthar Tea Garden,Aathbish Danda,Jeep,8.5,5839
Panchthar Tea Garden,Rangeli,Taxi,7.3,4047
Panchthar Tea Garden,Kalinchowk,Bus,7.3,1497
Panchthar Tea Garden,Panauti,Bus,5.1,1365
Panchthar Tea Garden,Patan Durbar Square,Bus,8.9,2138
Panchthar Tea Garden,Lo Manthang,Bus,3.7,754
Panchthar Tea Garden,Champadevi Hill,Bus,8.6,2398
Panchthar Tea Garden,Pulchowki Hill,Flight,1.1,3491
Panchthar Tea Garden,Muktinath Temple,Bus,4.6,976
Panchthar Tea Garden,Manaslu Base Camp,Bus,7.9,1941
Panchthar Tea Garden,Dharan Clock Tower,Jeep,6.2,2895
Panchthar Tea Garden,Tansen Bazaar,Flight,0.6,1514
Panchthar Tea Garden,Syarpu Lake,Jeep,6.2,3227
Panchthar Tea Garden,Ranighat Palace,Flight,0.8,3137
Panchthar Tea Garden,Siddhi Binayak,Bus,7.5,1645
Panchthar Tea Garden,Deurali Gumba,Jeep,8.0,3524
Panchthar Tea Garden,Bageshwori Temple,Bus,7.6,1823
Panchthar Tea Garden,Resunga,Jeep,7.3,2951
Panchthar Tea Garden,Tamang Heritage Trail,Flight,0.8,2770
Panchthar Tea Garden,Taudaha Lake,Jeep,3.0,1558
Panchthar Tea Garden,Ram Mandir,Bus,6.2,1323
Panchthar Tea Garden,Bhaktapur Durbar Square,Bus,4.6,1128
Panchthar Tea Garden,Bardia National Park,Taxi,7.0,4824
Panchthar Tea Garden,Bhairav Kunda,Bus,5.4,1311
Panchthar Tea Garden,Gupteshwor Cave,Taxi,7.4,5736
Panchthar Tea Garden,Bindhyabasini Temple,Jeep,8.7,5994
Panchthar Tea Garden,Dakshinkali Temple,Bus,6.4,1333
Panchthar Tea Garden,Bhojpur Bazaar,Taxi,3.6,2581
Panchthar Tea Garden,Khaptad National Park,Jeep,5.4,2238
Panchthar Tea Garden,Palung Valley,Taxi,3.5,2374
Panchthar Tea Garden,Sirubari,Taxi,4.0,3045
Panchthar Tea Garden,Phulchowki Botanical Garden,Bus,7.9,2312
Panchthar Tea Garden,Numbur Cheese Circuit,Bus,7.9,2158
Panchthar Tea Garden,Dhorpatan Hunting Reserve,Taxi,3.0,2289
Panchthar Tea Garden,Charikot,Jeep,5.0,2172
Panchthar Tea Garden,Siruwa Pokhari,Jeep,4.2,2368
Panchthar Tea Garden,Tatopani Hot Spring,Jeep,6.7,2873
Panchthar Tea Garden,Piple Hill,Flight,0.9,3018
Panchthar Tea Garden,Kali Gandaki Gorge,Flight,1.1,2650
Panchthar Tea Garden,Tilicho Lake,Bus,6.3,1495
Panchthar Tea Garden,Bhanbhane Pokhari,Taxi,3.2,2086
Panchthar Tea Garden,Simbuwa Khola Valley,Bus,6.4,1846
Panchthar Tea Garden,Langtang National Park,Jeep,3.4,2034
Panchthar Tea Garden,Kangchenjunga Base Camp,Bus,7.2,2144
Panchthar Tea Garden,Bhotekoshi Bungee Jump,Flight,1.1,3206
Panchthar Tea Garden,Bhujung Village,Jeep,5.7,3530
Panchthar Tea Garden,Manakamana Temple,Bus,9.2,2245
Panchthar Tea Garden,Sandakpur,Taxi,6.6,3976
Panchthar Tea Garden,Shuklaphanta National Park,Jeep,8.2,4335
Panchthar Tea Garden,Chobhar Gorge,Taxi,4.3,2950
Panchthar Tea Garden,Belbari Forest,Flight,1.5,3512
Panchthar Tea Garden,Tengboche Monastery,Jeep,7.6,4475
Panchthar Tea Garden,Namche Bazaar,Bus,9.2,2385
Panchthar Tea Garden,Ruru Kshetra,Bus,4.2,1258
Panchthar Tea Garden,Chhahara Waterfall,Bus,6.6,1917
Panchthar Tea Garden,Maya Devi Temple,Bus,8.0,2075
Panchthar Tea Garden,Bhedetar View Tower,Flight,1.6,6084
Panchthar Tea Garden,Davis Falls,Bus,9.9,2370
Panchthar Tea Garden,Salyan Khalanga,Taxi,6.2,3177
Panchthar Tea Garden,Hanuman Dhoka,Flight,1.7,4869
Panchthar Tea Garden,Khandadevi Temple,Flight,0.9,3154
Panchthar Tea Garden,Khopra Danda,Taxi,8.1,5853
Panchthar Tea Garden,Garden of Dreams,Taxi,6.8,3641
Panchthar Tea Garden,Siddha Cave,Bus,8.2,2316
Panchthar Tea Garden,Kanyam Tea Garden,Bus,4.3,1070
Panchthar Tea Garden,Kamalbari Lake,Flight,1.5,4506
Panchthar Tea Garden,Thakurdwara,Bus,8.9,2481
Panchthar Tea Garden,Phewa Lake,Jeep,7.2,3103
Panchthar Tea Garden,Kapilvastu Ruins,Bus,6.3,1855
Panchthar Tea Garden,Ringmo Village,Bus,6.9,1572
Panchthar Tea Garden,Nuwakot Trishuli Dam,Taxi,4.2,2998
Panchthar Tea Garden,Nepalgunj,Bus,6.3,1747
Panchthar Tea Garden,Gahawa Mai Temple,Bus,4.6,1184
Panchthar Tea Garden,Namobuddha,Taxi,6.9,4790
Panchthar Tea Garden,Panchakanya Hill,Flight,1.6,5558
Panchthar Tea Garden,Tsum Valley,Bus,9.4,2664
Panchthar Tea Garden,Nagi Village,Bus,7.8,1699
Panchthar Tea Garden,Pakuwal Lake,Bus,4.9,1415
Panchthar Tea Garden,Gaurishankar Conservation Area,Bus,6.6,1538
Panchthar Tea Garden,Narchyang Waterfall,Taxi,3.4,2559
Panchthar Tea Garden,Swargadwari,Flight,0.5,1394
Panchthar Tea Garden,Ramaroshan Wetland,Jeep,5.3,3375
Panchthar Tea Garden,Gosaikunda,Bus,9.5,2331
Panchthar Tea Garden,Rani Pokhari,Bus,7.9,1691
Panchthar Tea Garden,Begnas Lake,Jeep,8.3,5512
Panchthar Tea Garden,Seti River Gorge,Flight,1.1,2428
Panchthar Tea Garden,Nagarjun Forest,Flight,0.6,2298
Panchthar Tea Garden,Banskharka Orange Farm,Bus,8.7,1801
Panchthar Tea Garden,Kharpunath,Bus,10.0,2997
Mohare Danda,Tila River Valley,Jeep,4.6,1893
Mohare Danda,Koshi Barrage,Jeep,8.4,3747
Mohare Danda,Chhimkeshwori Hill,Taxi,5.4,3089
Mohare Danda,Arun Valley,Bus,8.9,2573
Mohare Danda,Chhimkeshwori,Bus,6.3,1815
Mohare Danda,Musikot,Bus,6.2,1636
Mohare Danda,Panchthar Tea Garden,Taxi,3.3,2581
Mohare Danda,Tribeni Dham,Flight,0.7,2120
Mohare Danda,Dhaulagiri Base Camp,Bus,8.3,2424
Mohare Danda,Swayambhunath Stupa,Flight,0.8,2854
Mohare Danda,Shivapuri Nagarjun National Park,Bus,10.5,2853
Mohare Danda,Chainpur Bazaar,Taxi,7.0,4741
Mohare Danda,Lamjung Himal Base Camp,Flight,0.8,2508
Mohare Danda,Jalbire Waterfall,Jeep,3.7,2165
Mohare Danda,Rani Mahal,Taxi,4.2,2186
Mohare Danda,Kakrebihar,Jeep,3.3,1982
Mohare Danda,Silichho Peak,Taxi,7.0,4182
Mohare Danda,Khaireni Hill,Jeep,4.9,2642
Mohare Danda,Panchase Hill,Bus,4.1,865
Mohare Danda,Jomsom,Taxi,5.9,3148
Mohare Danda,Okhaldhunga Memorial Park,Bus,9.5,2122
Mohare Danda,Baglung Kalika Temple,Flight,0.9,2077
Mohare Danda,Maipokhari,Bus,5.9,1281
Mohare Danda,Ramdhuni Mandir,Bus,9.0,1818
Mohare Danda,Bhedetar Zipline,Flight,0.1,329
Mohare Danda,Thabang Village,Bus,8.4,2117
Mohare Danda,Ridi Bazaar,Bus,5.8,1334
Mohare Danda,Kagbeni,Bus,6.9,1502
Mohare Danda,Khaptad Baba Ashram,Flight,0.6,1505
Mohare Danda,Simikot,Taxi,3.5,2405
Mohare Danda,Rara Lake,Bus,4.3,991
Mohare Danda,Badhaiya Tal,Jeep,4.6,1989
Mohare Danda,Rishikesh Complex (Devghat),Bus,10.1,2648
Mohare Danda,Ghodepani,Jeep,8.1,4757
Mohare Danda,Chandannath Temple,Flight,0.2,550
Mohare Danda,Bishazari Tal,Bus,6.7,2008
Mohare Danda,Hanuman Temple,Bus,5.5,1634
Mohare Danda,International Mountain Museum,Jeep,6.0,2943
Mohare Danda,Madan Ashrit Memorial Park,Jeep,6.7,4505
Mohare Danda,Mahaboudha Temple,Bus,5.2,1378
Mohare Danda,Tindhare Waterfall,Bus,5.0,1112
Mohare Danda,Rolpa Martyrs Trail,Bus,5.6,1670
Mohare Danda,Bajura Budhinanda Lake,Taxi,4.1,2833
Mohare Danda,Tallo Dungeshwor,Taxi,4.0,2805
Mohare Danda,Tharu Village,Bus,8.8,2423
Mohare Danda,Patal Bhuvaneshwor Cave,Bus,4.2,842
Mohare Danda,Everest Base Camp,Flight,0.3,716
Mohare Danda,Ghale Gaun,Jeep,7.2,4547
Mohare Danda,Sarangkot,Jeep,6.1,3003
Mohare Danda,Dudh Kunda,Bus,9.3,2409
Mohare Danda,Chhanwa Gumba,Bus,7.9,1822
Mohare Danda,Nuwakot Palace Complex,Flight,0.6,2070
Mohare Danda,Hiranya Varna Mahavihar,Jeep,6.9,4243
Mohare Danda,Sailung,Bus,5.0,1271
Mohare Danda,Jaleshwor Mahadev Temple,Bus,9.5,1915
Mohare Danda,Pakhure Pokhari,Taxi,4.7,3232
Mohare Danda,Janaki Mandir,Bus,6.3,1493
Mohare Danda,Ghodaghodi Lake,Taxi,3.8,2924
Mohare Danda,Maula Kalika Temple,Bus,5.6,1216
Mohare Danda,Laprak,Jeep,4.0,2473
Mohare Danda,Simraungadh Ruins,Bus,10.1,2732
Mohare Danda,Panch Pokhari,Taxi,7.3,5831
Mohare Danda,Pathibhara Devi Temple,Bus,4.7,1326
Mohare Danda,Dodhara Chandani Bridge,Bus,4.7,992
Mohare Danda,Baraha Kshetra,Bus,8.1,2026
Mohare Danda,Baraha Pokhari,Bus,6.5,1938
Mohare Danda,Sisne Himal,Jeep,3.9,2287
Mohare Danda,Gokyo Lakes,Bus,6.6,1400
Mohare Danda,Daunne Hill,Bus,4.6,1302
Mohare Danda,Birgunj Clock Tower,Bus,9.6,2134
Mohare Danda,Shey Phoksundo Lake,Taxi,5.8,4439
Mohare Danda,Gorkha Durbar,Flight,0.9,2902
Mohare Danda,Temke Dada,Bus,5.1,1387
Mohare Danda,Bhimsen Temple,Bus,6.8,1551
Mohare Danda,Guerrilla Trek,Bus,8.7,1951
Mohare Danda,Bungamati Village,Flight,1.5,3244
Mohare Danda,Poon Hill,Bus,5.7,1705
Mohare Danda,Chamunda Temple,Bus,5.9,1222
Mohare Danda,Sitalpati Market,Taxi,7.5,5611
Mohare Danda,Ashoka Pillar,Bus,6.4,1835
Mohare Danda,World Peace Pagoda,Jeep,4.8,2947
Mohare Danda,Kapuche Glacier Lake,Bus,3.7,745
Mohare Danda,Tatopani,Bus,5.5,1416
Mohare Danda,Boudhanath Stupa,Jeep,7.0,2860
Mohare Danda,Rukumkot,Bus,10.2,2082
Mohare Danda,Makalu Base Camp,Taxi,7.0,4884
Mohare Danda,Hetauda Martyrs Park,Jeep,5.6,2846
Mohare Danda,Balmiki Ashram,Bus,9.9,2326
Mohare Danda,Salpa Pokhari,Taxi,8.1,5541
Mohare Danda,Chhintang,Taxi,4.2,3173
Mohare Danda,Bhairahawa Buddha Park,Jeep,5.2,2948
Mohare Danda,Barpak,Jeep,8.4,4539
Mohare Danda,Gorkha Museum,Jeep,3.2,2043
Mohare Danda,Dhulikhel View Tower,Taxi,7.1,3755
Mohare Danda,Pashupatinath Temple,Bus,6.2,1788
Mohare Danda,Api Base Camp,Bus,8.2,2294
Mohare Danda,Trishuli River View,Taxi,7.3,4380
Mohare Danda,Soti Khola,Bus,8.4,2253
Mohare Danda,Bindabasini Temple (Bandipur),Taxi,3.7,2120
Mohare Danda,Sailung Danda,Jeep,5.7,3239
Mohare Danda,Chepang Hill Trail,Jeep,3.2,1414
Mohare Danda,Mallaj,Jeep,7.0,2803
Mohare Danda,Barpak Village,Bus,9.3,2319
Mohare Danda,Lete,Bus,5.4,1281
Mohare Danda,Sundarijal,Bus,8.8,2386
Mohare Danda,Triveni Dham,Bus,6.3,1448
Mohare Danda,Koshi Tappu Wildlife Reserve,Jeep,8.8,5818
Mohare Danda,Nyatapola Temple,Jeep,5.6,3371
Mohare Danda,Antu Danda,Bus,9.0,2649
Mohare Danda,Khokana,Bus,5.8,1332
Mohare Danda,Badimalika Temple,Bus,8.4,2078
Mohare Danda,Diktel Bazaar,Jeep,3.4,2129
Mohare Danda,Bhairabi Temple,Bus,6.2,1857
Mohare Danda,Lumbini - Birthplace of Buddha,Bus,9.1,2552
